Epigenetic target ,Target type,Epigenetic tool,Gene,Associated diseases,Reference (DOI) 
SIRT 2,Enzyme,Eraser,Not described,Glioma ,10.2174/0929867325666180530094120
SIRT 3,Enzyme,Eraser,Not described,Breast cancer ,10.2174/0929867325666180530094120
SIRT 4,Enzyme,Eraser,Not described,Breast cancer ,10.2174/0929867325666180530094120
SIRT5,Enzyme,Eraser,Not described,Breast cancer ,10.2174/0929867325666180530094120
,,,Not described,Pancreatic cancer,
SIRT6,Enzyme,Eraser,ER,Breast cancer ,10.3389/fonc.2020.605386
,,,"Myc ZNF278 (coactivador de Myc), NM1, HOXB6 y MKRN3",Myeloid leukemia,
,,,PI3K/Akt y ERK1/2,Squamous cell carcinoma of the esophagus,
,,,TMPRSS2-ERG y p53,Prostate cancer,
,,,p21,Pancreatic cancer,
,,,"p21, p27 y p57",Colon cancer,
,,,ATP2A3,Hepatocellular carcinoma,
,,,Not described,Colon cancer,10.2174/0929867325666180530094120
,,,Not described,Breast cancer ,
SIRT7,Enzyme,Eraser,Not described,Breast cancer ,10.2174/0929867325666180530094120
HAT/Ep300,Enzyme,Writer,"EP300, IkBalfa y p65",Cervical tumor cells,10.3389/fonc.2020.605386
,,,"EP300, IkBalfa y p65",Myeloid leukemia,
,,,"EP300, IkBalfa y p65",T cell lymphoma,
,,,"EP300, IkBalfa y p65",Prostate cancer,
HAT2B/Ep300,Enzyme,Writer,p300 y KAT2B,Cervical cancer,
,,,Not described,Breast cancer ,
,,,Not described,Hepatocellular carcinoma,
,,,p300/CBP,Esophageal carcinoma,
HAT3B/p300,Enzyme,Writer,p300 y p53,Liver carcinoma,
PRMT1,Enzyme,Writer,AMI-1,Hepatocellular carcinoma,10.3389/fonc.2020.605386
EZH2,Enzyme,Writer," EZH2, eIF4E e IMPDH1",Breast cancer ,10.3389/fonc.2020.605386
,,," EZH2, eIF4E e IMPDH1",Brain cancer,
,,," EZH2, eIF4E e IMPDH1",Cervical cancer,
,,," EZH2, eIF4E e IMPDH1",Colon cancer,
,,," EZH2, eIF4E e IMPDH1",Prostate cancer,
,,,UNC13B,Diabetic nephropathy ,10.1016/j.metabol.2021.154920
,,,Not described,Atherosclerosis,10.1016/j.tem.2018.04.007
LSD1,Enzyme,Eraser,Not described,Bladder cancer,10.3389/fonc.2020.605386
,,,Not described,Colon cancer,
,,,Not described,Promyelocytic leukemia,
,,,NTRK2,Promyelocytic leukemia,
,,,Not described,Prostate cancer,
,,,Not described,Glioblastoma,
BET/BDR4,Enzyme,Reader,Not described,Leukemia MLL,10.3389/fonc.2020.605386
KDM1A,Enzyme,Eraser,p53 y E2F1,"Leukemia, prostate cancer, breast cancer and neuroblastoma",10.3389/fgene.2021.680633
KDM1B,Enzyme,,Not described,Breast cancer ,
KDM2A,Enzyme,,PCD4 y E2F1,"Leukemia, gastric cancer and breast cancer",
KDM2B,Enzyme,,KRAS,"Leukemia, pancreatic cancer, ovarian cancer, gastric cancer and glioma ",
KDM3A,Enzyme,,Not described,"Breast cancer, ovarian cancer, Ewing's sarcoma, and prostate cancer",
KDM3B,Enzyme,,Not described,Leukemia,
KDM4A,Enzyme,,Not described,"Endometrial cancer, lung cancer, prostate cancer, and breast cancer",
KDM4B,Enzyme,,PTEN,Breast cancer and colorectal cancer,
KDM4C,Enzyme,,Not described,Prostate cancer,
KDM4D,Enzyme,,Not described,Prostate cancer,
KDM5A,Enzyme,,pRB,"Leukemia, breast cancer, ovarian cancer and melanoma",
KDM5B,Enzyme,,BRCA1 y CAV1,"Breast cancer, prostate cancer and melanoma",
KDM5C,Enzyme,,Not described,Cervical cancer,
KDM5D,Enzyme,,Not described,Prostate cancer,
KDM6A,Enzyme,,MYC y RUNX3,"Bladder cancer, cervical cancer, breast cancer, multiple myeloma, lung cancer, and pancreatic cancer",
KDM6B,Enzyme,,FOXO1,"Lung cancer, colon cancer, pancreatic cancer, prostate cancer, multiple myeloma, acute myeloid leukemia, melanoma, and ovarian cancer",
KDM7A,Enzyme,,Not described,Melanoma and cervical cancer and prostate cancer,
KDM8,Enzyme,,CCND1,Breast cancer and prostate cancer,
